rank,admin1,admin2,wp_low_mean,SAH_State_Type,SAH_State_Date,acronym,governor,political-party,population,SAH,SAH-notes,county-state,SAH-start-date,SAH-end-date,source-URL,NE-bus-sus,start-date,source-URL_1,Pub-school-closed,start-date_1,source-URL_2
274,Missouri,Cole County,-33.32,Stay at home,4/6/2020,,Mike Parson,Republican,76720,,,,,,,,,,,,
275,Florida,Indian River County,-33.31,Stay at home,4/3/2020,,Ron DeSantis,Republican,157187,,,,,,,,,,,,
276,Ohio,Warren County,-33.29,Stay at home,3/23/2020,,Richard Michael DeWine,Republican,231945,,,,,,,,,,,,
277,Tennessee,Sumner County,-33.27,Stay at home,3/31/2020,,Bill Lee,Republican,187490,,,,,,,,,,,,
278,Missouri,Bollinger County,-33.25,Stay at home,4/6/2020,,Mike Parson,Republican,12189,,,,,,,,,,,,
278,New Jersey,Ocean County,-33.25,Stay at home,3/21/2020,,Phil Murphy,Democratic,601478,,,,,,,,,,,,
279,Virginia,Chesapeake,-33.23,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
280,Tennessee,Monroe County,-33.22,Stay at home,3/31/2020,,Bill Lee,Republican,46269,,,,,,,,,,,,
281,Mississippi,Monroe County,-33.21,Shelter in place,4/3/2020,,Tate Reeves,Republican,35543,,,,,,,,,,,,
281,North Carolina,Union County,-33.21,Stay at home,3/30/2020,,Roy Cooper,Democratic,235830,,,,,,,,,,,,
282,Florida,Lake County,-33.17,Stay at home,4/3/2020,,Ron DeSantis,Republican,356720,,,,,,,,,,,,
283,North Carolina,Cabarrus County,-33.15,Stay at home,3/30/2020,,Roy Cooper,Democratic,211597,,,,,,,,,,,,
284,Colorado,Archuleta County,-33.12,Stay at home,3/26/2020,,Jared Polis,Democratic,13730,,,,,,,,,,,,
284,Massachusetts,Worcester County,-33.12,Stay at home advisory,3/24/2020,MA,Charles D. Baker,Republican,829054,Yes,Stay at home advisory,same,3/24/2020,3/4/2020,https://www.mass.gov/news/dph-public-health-advisory-stay-at-home-advisory,Yes,3/24/2020,https://www.mass.gov/doc/march-23-2020-essential-services-and-revised-gatherings-order/download,Yes,3/16/2020,https://www.mass.gov/doc/march-15-2020-school-closure-order/download
284,New Mexico,Sandoval County,-33.12,Stay at home,3/24/2020,,Michelle Lujan Grisham,Democratic,145096,,,,,,,,,,,,
285,New Hampshire,Merrimack County,-33.1,Stay at home,3/27/2020,,Chris Sununu,Republican,150650,,,,,,,,,,,,
286,Florida,Volusia County,-33.06,Stay at home,4/3/2020,,Ron DeSantis,Republican,546101,,,,,,,,,,,,
287,Alabama,Macon County,-33,Stay at home,4/4/2020,,Kay Ivey,Republican,18321,,,,,,,,,,,,
287,California,Trinity County,-33,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,12567,Yes,,same,3/19/2020,,,,,,Yes,3/17/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
287,Maryland,Queen Anne's County,-33,Stay at home,3/30/2020,,Larry Hogan,Republican,50148,,,,,,,,,,,,
287,Maryland,Worcester County,-33,Stay at home,3/30/2020,,Larry Hogan,Republican,51960,,,,,,,,,,,,
287,North Carolina,Chatham County,-33,Stay at home,3/30/2020,,Roy Cooper,Democratic,73127,,,,,,,,,,,,
288,Kentucky,Marion County,-32.92,Healthy at home,3/26/2020,,Andy Beshear,Democratic,19326,,,,,,,,,,,,
289,South Carolina,Berkeley County,-32.9,Stay at home ,4/7/2020,,Henry McMaster,Republican,221182,,,,,,,,,,,,
290,Kentucky,Madison County,-32.89,Healthy at home,3/26/2020,,Andy Beshear,Democratic,92107,,,,,,,,,,,,
290,Wisconsin,Milwaukee County,-32.89,Stay at home,3/25/2020,WI,Tony Evers,Democratic,946969,Yes,,,3/25/2020,5/26/2020,https://www.nbcchicago.com/news/coronavirus/evers-extends-wisconsin-stay-at-home-order-until-may-26/2256924/,,,,,,
291,Florida,Flagler County,-32.88,Stay at home,4/3/2020,,Ron DeSantis,Republican,112085,,,,,,,,,,,,
292,Pennsylvania,Tioga County,-32.87,Stay at home,4/1/2020,,Tom Wolf,Democratic,40690,,,,,,,,,,,,
293,Nevada,Elko County,-32.86,Stay at home,4/1/2020,,Steve Sisolak,Democratic,52539,,,,,,,,,,,,
294,Texas,Ellis County,-32.82,Stay at home,4/2/2020,,Greg Abbott,Republican,179006,,,,,,,,,,,,
295,Florida,Sumter County,-32.81,Stay at home,4/3/2020,,Ron DeSantis,Republican,128719,,,,,,,,,,,,
296,Georgia,Bleckley County,-32.79,Shelter in place,4/3/2020,,Brian Kemp,Republican,12821,,,,,,,,,,,,
297,Alabama,Limestone County,-32.78,Stay at home,4/4/2020,,Kay Ivey,Republican,96177,,,,,,,,,,,,
298,Maine,Androscoggin County,-32.75,Stay at home,4/2/2020,,Janet T. Mills,Democratic,107914,,,,,,,,,,,,
298,Michigan,Isabella County,-32.75,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,70463,,,,,,,,,,,,
299,Virginia,Fauquier County,-32.71,Stay at home,3/30/2020,,Ralph Northam,Democratic,70642,,,,,,,,,,,,
299,Virginia,Manassas Park,-32.71,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
300,New Hampshire,Carroll County,-32.7,Stay at home,3/27/2020,,Chris Sununu,Republican,48754,,,,,,,,,,,,
301,South Carolina,Lexington County,-32.67,Stay at home ,4/7/2020,,Henry McMaster,Republican,294350,,,,,,,,,,,,
302,New Mexico,Taos County,-32.62,Stay at home,3/24/2020,,Michelle Lujan Grisham,Democratic,32699,,,,,,,,,,,,
303,Pennsylvania,Indiana County,-32.6,Stay at home,4/1/2020,,Tom Wolf,Democratic,84441,,,,,,,,,,,,
304,Ohio,Union County,-32.57,Stay at home,3/23/2020,,Richard Michael DeWine,Republican,57782,,,,,,,,,,,,
304,Virginia,Clarke County,-32.57,Stay at home,3/30/2020,,Ralph Northam,Democratic,14511,,,,,,,,,,,,
305,Georgia,Muscogee County,-32.53,Shelter in place,4/3/2020,,Brian Kemp,Republican,194169,,,,,,,,,,,,
305,Pennsylvania,Crawford County,-32.53,Stay at home,4/1/2020,,Tom Wolf,Democratic,85110,,,,,,,,,,,,
306,New York,Richmond County,-32.5,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,476260,,,,,,,,,,,,
307,Texas,Parker County,-32.47,Stay at home,4/2/2020,,Greg Abbott,Republican,138070,,,,,,,,,,,,
308,Wisconsin,La Crosse County,-32.43,Stay at home,3/25/2020,,Tony Evers,Democratic,118041,,,,,,,,,,,,
308,Wisconsin,Sawyer County,-32.43,Stay at home,3/25/2020,,Tony Evers,Democratic,16464,,,,,,,,,,,,
309,Colorado,Weld County,-32.4,Stay at home,3/26/2020,,Jared Polis,Democratic,314815,,,,,,,,,,,,
310,Michigan,Clinton County,-32.38,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,79219,,,,,,,,,,,,
310,New Mexico,Socorro County,-32.38,Stay at home,3/24/2020,,Michelle Lujan Grisham,Democratic,16704,,,,,,,,,,,,
311,Kansas,Leavenworth County,-32.36,Stay at home,3/30/2020,,Laura Kelly,Democratic,81497,,,,,,,,,,,,
311,Virginia,Manassas,-32.36,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
312,Georgia,Clayton County,-32.35,Shelter in place,4/3/2020,,Brian Kemp,Republican,289197,,,,,,,,,,,,
313,Missouri,Christian County,-32.33,Stay at home,4/6/2020,,Mike Parson,Republican,87044,,,,,,,,,,,,
314,Kentucky,Jefferson County,-32.3,Healthy at home,3/26/2020,KY,Andy Beshear,Democratic,768101,,healthy at home,,,,,Yes,3/22/2020,https://www.courier-journal.com/story/news/local/2020/03/22/kentucky-coronavirus-beshear-orders-nonessential-businesses-close/2895931001/,Yes,3/15/2020,https://www.courier-journal.com/story/news/2020/03/15/coronavirus-kentucky-could-schools-close-until-end-year/5054020002/
315,Georgia,Dougherty County,-32.29,Shelter in place,4/3/2020,,Brian Kemp,Republican,89200,,,,,,,,,,,,
315,Washington,Thurston County,-32.29,Stay at home,3/23/2020,,Jay Inslee,Democratic,286056,,,,,,,,,,,,
316,Georgia,Chattahoochee County,-32.28,Shelter in place,4/3/2020,,Brian Kemp,Republican,10600,,,,,,,,,,,,
317,Pennsylvania,Somerset County,-32.27,Stay at home,4/1/2020,,Tom Wolf,Democratic,73872,,,,,,,,,,,,
318,Georgia,Twiggs County,-32.22,Shelter in place,4/3/2020,,Brian Kemp,Republican,8174,,,,,,,,,,,,
318,Idaho,Ada County,-32.22,Stay at home,3/25/2020,ID,Brad Little,Republican,468764,Yes,,,3/25/2020,5/1/2020,https://adacounty.id.gov/blog/news/re-opening-idaho-governors-timelines-and-protocols/,Yes,3/25/2020,https://adacounty.id.gov/blog/news/re-opening-idaho-governors-timelines-and-protocols/,Yes,,
319,Minnesota,Wright County,-32.2,Stay at home,3/27/2020,,Tim Walz,Democratic,136313,,,,,,,,,,,,
319,New Jersey,Camden County,-32.2,Stay at home,3/21/2020,,Phil Murphy,Democratic,506353,,,,,,,,,,,,
319,Tennessee,Rutherford County,-32.2,Stay at home,3/31/2020,,Bill Lee,Republican,324647,,,,,,,,,,,,
320,Maine,Kennebec County,-32.19,Stay at home,4/2/2020,,Janet T. Mills,Democratic,122044,,,,,,,,,,,,
321,Alabama,Elmore County,-32.17,Stay at home,4/4/2020,,Kay Ivey,Republican,81011,,,,,,,,,,,,
321,Georgia,Newton County,-32.17,Shelter in place,4/3/2020,,Brian Kemp,Republican,109421,,,,,,,,,,,,
321,Mississippi,Clay County,-32.17,Shelter in place,4/3/2020,,Tate Reeves,Republican,19404,,,,,,,,,,,,
322,Wisconsin,St. Croix County,-32.14,Stay at home,3/25/2020,,Tony Evers,Democratic,89688,,,,,,,,,,,,
323,Florida,Polk County,-32.12,Stay at home,4/3/2020,,Ron DeSantis,Republican,706597,,,,,,,,,,,,
323,Mississippi,Coahoma County,-32.12,Shelter in place,4/3/2020,,Tate Reeves,Republican,22605,,,,,,,,,,,,
323,Wisconsin,Sauk County,-32.12,Stay at home,3/25/2020,,Tony Evers,Democratic,64318,,,,,,,,,,,,
324,Florida,Clay County,-32.11,Stay at home,4/3/2020,,Ron DeSantis,Republican,215908,,,,,,,,,,,,
324,Georgia,Dawson County,-32.11,Shelter in place,4/3/2020,,Brian Kemp,Republican,25127,,,,,,,,,,,,
325,Alabama,Perry County,-32.09,Stay at home,4/4/2020,AL,Kay Ivey,Republican,9070,Yes,,,4/5/2020,4/30/2020,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,,,,,,
326,Pennsylvania,Lycoming County,-32.07,Stay at home,4/1/2020,,Tom Wolf,Democratic,113866,,,,,,,,,,,,
326,Tennessee,Maury County,-32.07,Stay at home,3/31/2020,,Bill Lee,Republican,94273,,,,,,,,,,,,
327,Alabama,Sumter County,-32.03,Stay at home,4/4/2020,,Kay Ivey,Republican,12634,,,,,,,,,,,,
328,California,Yolo County,-32,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,220118,Yes,,same,3/19/2020,,,,,,Yes,3/16/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
328,Idaho,Boise County,-32,Stay at home,3/25/2020,,Brad Little,Republican,7655,,,,,,,,,,,,
328,Kentucky,Washington County,-32,Healthy at home,3/26/2020,,Andy Beshear,Democratic,12023,,,,,,,,,,,,
328,Michigan,Midland County,-32,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,83223,,,,,,,,,,,,
328,New York,Onondaga County,-32,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,461649,,,,,,,,,,,,
328,New York,Rockland County,-32,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,325522,,,,,,,,,,,,
328,Pennsylvania,Schuylkill County,-32,Stay at home,4/1/2020,,Tom Wolf,Democratic,141815,,,,,,,,,,,,
328,Vermont,Bennington County,-32,Stay at home,3/25/2020,,Phil Scott,Republican,35520,,,,,,,,,,,,
329,Maine,Lincoln County,-31.94,Stay at home,4/2/2020,,Janet T. Mills,Democratic,34399,,,,,,,,,,,,
330,Idaho,Madison County,-31.9,Stay at home,3/25/2020,,Brad Little,Republican,39261,,,,,,,,,,,,
331,Minnesota,Roseau County,-31.89,Stay at home,3/27/2020,,Tim Walz,Democratic,15158,,,,,,,,,,,,
332,Indiana,Tippecanoe County,-31.88,Stay at home,3/24/2020,,Eric Holcomb,Republican,193817,,,,,,,,,,,,
333,New York,Bronx County,-31.83,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,1432087,,,,,,,,,,,,
334,New Jersey,Gloucester County,-31.8,Stay at home,3/21/2020,,Phil Murphy,Democratic,291525,,,,,,,,,,,,
334,Pennsylvania,Armstrong County,-31.8,Stay at home,4/1/2020,,Tom Wolf,Democratic,65352,,,,,,,,,,,,
335,Virginia,Greene County,-31.79,Stay at home,3/30/2020,,Ralph Northam,Democratic,19692,,,,,,,,,,,,
336,Virginia,Lynchburg,-31.77,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
337,Hawaii,Maui County,-31.75,Stay at home,3/25/2020,,David Ige,Democratic,166972,,,,,,,,,,,,
338,Georgia,Walton County,-31.72,Shelter in place,4/3/2020,,Brian Kemp,Republican,93202,,,,,,,,,,,,
338,Mississippi,Oktibbeha County,-31.72,Shelter in place,4/3/2020,,Tate Reeves,Republican,49249,,,,,,,,,,,,
339,Connecticut,Tolland County,-31.71,Stay at home,3/23/2020,CT,Ned Lamont,Democratic,150689,,"stat safe, stay home",,,,,,,,,,
339,Florida,Charlotte County,-31.71,Stay at home,4/3/2020,,Ron DeSantis,Republican,184849,,,,,,,,,,,,
340,Georgia,Oglethorpe County,-31.69,Shelter in place,4/3/2020,,Brian Kemp,Republican,15080,,,,,,,,,,,,
341,Maryland,Talbot County,-31.62,Stay at home,3/30/2020,,Larry Hogan,Republican,37074,,,,,,,,,,,,
341,Massachusetts,Franklin County,-31.62,Stay at home advisory,3/24/2020,,Charles D. Baker,Republican,70611,,,,,,,,,,,,
342,Idaho,Latah County,-31.6,Stay at home,3/25/2020,,Brad Little,Republican,39829,,,,,,,,,,,,
342,South Carolina,Aiken County,-31.6,Stay at home ,4/7/2020,,Henry McMaster,Republican,169449,,,,,,,,,,,,
343,Alabama,Autauga County,-31.56,Stay at home,4/4/2020,,Kay Ivey,Republican,55533,,,,,,,,,,,,
343,Georgia,Bryan County,-31.56,Shelter in place,4/3/2020,,Brian Kemp,Republican,38059,,,,,,,,,,,,
343,Maine,Knox County,-31.56,Stay at home,4/2/2020,,Janet T. Mills,Democratic,39717,,,,,,,,,,,,
344,Maryland,Washington County,-31.54,Stay at home,3/30/2020,,Larry Hogan,Republican,150656,,,,,,,,,,,,
345,Alabama,St. Clair County,-31.5,Stay at home,4/4/2020,,Kay Ivey,Republican,88654,,,,,,,,,,,,
345,Illinois,Monroe County,-31.5,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,34373,,,,,,,,,,,,
345,Kentucky,Meade County,-31.5,Healthy at home,3/26/2020,,Andy Beshear,Democratic,28623,,,,,,,,,,,,
346,Missouri,Cape Girardeau County,-31.47,Stay at home,4/6/2020,,Mike Parson,Republican,78638,,,,,,,,,,,,
346,Missouri,Osage County,-31.47,Stay at home,4/6/2020,,Mike Parson,Republican,13652,,,,,,,,,,,,
346,Tennessee,Hamilton County,-31.47,Stay at home,3/31/2020,,Bill Lee,Republican,364293,,,,,,,,,,,,
347,Florida,Hernando County,-31.44,Stay at home,4/3/2020,,Ron DeSantis,Republican,190582,,,,,,,,,,,,
347,Kentucky,Franklin County,-31.44,Healthy at home,3/26/2020,,Andy Beshear,Democratic,50801,,,,,,,,,,,,
348,Minnesota,Pennington County,-31.43,Stay at home,3/27/2020,,Tim Walz,Democratic,14173,,,,,,,,,,,,
349,Texas,Caldwell County,-31.41,Stay at home,4/2/2020,,Greg Abbott,Republican,43161,,,,,,,,,,,,
350,New Jersey,Warren County,-31.4,Stay at home,3/21/2020,,Phil Murphy,Democratic,105528,,,,,,,,,,,,
351,Georgia,Lumpkin County,-31.39,Shelter in place,4/3/2020,,Brian Kemp,Republican,32899,,,,,,,,,,,,
352,Georgia,Troup County,-31.38,Shelter in place,4/3/2020,,Brian Kemp,Republican,70078,,,,,,,,,,,,
352,North Carolina,Guilford County,-31.38,Stay at home,3/30/2020,,Roy Cooper,Democratic,532607,,,,,,,,,,,,
352,Virginia,Hampton,-31.38,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
353,New York,Schenectady County,-31.33,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,155079,,,,,,,,,,,,
354,Georgia,Richmond County,-31.31,Shelter in place,4/3/2020,,Brian Kemp,Republican,201667,,,,,,,,,,,,
355,Mississippi,Adams County,-31.29,Shelter in place,4/3/2020,,Tate Reeves,Republican,31044,,,,,,,,,,,,
356,Indiana,Boone County,-31.22,Stay at home,3/24/2020,,Eric Holcomb,Republican,66930,,,,,,,,,,,,
357,Georgia,Heard County,-31.21,Shelter in place,4/3/2020,,Brian Kemp,Republican,11871,,,,,,,,,,,,
358,New Jersey,Passaic County,-31.2,Stay at home,3/21/2020,,Phil Murphy,Democratic,503183,,,,,,,,,,,,
359,Washington,Island County,-31.17,Stay at home,3/23/2020,,Jay Inslee,Democratic,84227,,,,,,,,,,,,
360,Ohio,Hamilton County,-31.14,Stay at home,3/23/2020,,Richard Michael DeWine,Republican,815445,,,,,,,,,,,,
360,Virginia,New Kent County,-31.14,Stay at home,3/30/2020,,Ralph Northam,Democratic,22317,,,,,,,,,,,,
360,Washington,Kitsap County,-31.14,Stay at home,3/23/2020,,Jay Inslee,Democratic,269276,,,,,,,,,,,,
360,Wisconsin,Vilas County,-31.14,Stay at home,3/25/2020,,Tony Evers,Democratic,21928,,,,,,,,,,,,
361,Indiana,Floyd County,-31.12,Stay at home,3/24/2020,,Eric Holcomb,Republican,77834,,,,,,,,,,,,
361,Michigan,Emmet County,-31.12,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,33225,,,,,,,,,,,,
361,Texas,Blanco County,-31.12,Stay at home,4/2/2020,,Greg Abbott,Republican,11648,,,,,,,,,,,,
361,Texas,Crosby County,-31.12,Stay at home,4/2/2020,,Greg Abbott,Republican,5764,,,,,,,,,,,,
362,Georgia,Bulloch County,-31.11,Shelter in place,4/3/2020,,Brian Kemp,Republican,77242,,,,,,,,,,,,
363,Georgia,Crawford County,-31.08,Shelter in place,4/3/2020,,Brian Kemp,Republican,12334,,,,,,,,,,,,
364,Alabama,Chambers County,-31.06,Stay at home,4/4/2020,,Kay Ivey,Republican,33600,,,,,,,,,,,,
365,California,Placer County,-31,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,392330,Yes,,,,,,,,,Yes,3/16/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
365,California,San Diego County,-31,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,3333861,Yes,Stay at home,same,3/19/2020,4/30/2020,https://www.sandiegocounty.gov/content/dam/sdc/hhsa/programs/phs/Epidemiology/HealthOfficerOrderCOVID19.pdf,Yes,3/19/2020,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/health-order.html,Yes,3/16/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
365,Massachusetts,Plymouth County,-31,Stay at home advisory,3/24/2020,,Charles D. Baker,Republican,518422,,,,,,,,,,,,
365,Michigan,Leelanau County,-31,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,21714,,,,,,,,,,,,
365,Mississippi,Prentiss County,-31,Shelter in place,4/3/2020,,Tate Reeves,Republican,25088,,,,,,,,,,,,
365,Pennsylvania,Mifflin County,-31,Stay at home,4/1/2020,,Tom Wolf,Democratic,46211,,,,,,,,,,,,
365,Washington,Whatcom County,-31,Stay at home,3/23/2020,,Jay Inslee,Democratic,225197,,,,,,,,,,,,
366,Florida,Martin County,-30.94,Stay at home,4/3/2020,,Ron DeSantis,Republican,160742,,,,,,,,,,,,
366,Georgia,Pulaski County,-30.94,Shelter in place,4/3/2020,,Brian Kemp,Republican,11080,,,,,,,,,,,,
366,Mississippi,DeSoto County,-30.94,Shelter in place,4/3/2020,,Tate Reeves,Republican,181932,,,,,,,,,,,,
367,Arizona,Pinal County,-30.93,Stay at home,3/31/2020,,Doug Ducey,Republican,446806,,,,,,,,,,,,
367,Pennsylvania,Warren County,-30.93,Stay at home,4/1/2020,,Tom Wolf,Democratic,39551,,,,,,,,,,,,
367,Tennessee,Blount County,-30.93,Stay at home,3/31/2020,,Bill Lee,Republican,131331,,,,,,,,,,,,
368,Mississippi,Tippah County,-30.92,Shelter in place,4/3/2020,,Tate Reeves,Republican,22039,,,,,,,,,,,,
369,Minnesota,Cass County,-30.9,Stay at home,3/27/2020,,Tim Walz,Democratic,29511,,,,,,,,,,,,
370,Texas,Lampasas County,-30.88,Stay at home,4/2/2020,,Greg Abbott,Republican,21134,,,,,,,,,,,,
371,Maryland,Cecil County,-30.86,Stay at home,3/30/2020,,Larry Hogan,Republican,102644,,,,,,,,,,,,
371,Missouri,Lincoln County,-30.86,Stay at home,4/6/2020,,Mike Parson,Republican,57613,,,,,,,,,,,,
371,Ohio,Cuyahoga County,-30.86,Stay at home,3/23/2020,OH,Richard Michael DeWine,Republican,1241718,,,,,,,,,,,,
372,North Carolina,Forsyth County,-30.85,Stay at home,3/30/2020,,Roy Cooper,Democratic,379216,,,,,,,,,,,,
372,Virginia,Roanoke County,-30.85,Stay at home,3/30/2020,,Ralph Northam,Democratic,94086,,,,,,,,,,,,
373,Louisiana,Jefferson Parish,-30.83,Stay at home,3/23/2020,LA,John Bel Edwards,Democratic,433884,,,,,,,,,,,,
373,Montana,Park County,-30.83,Stay at home,3/28/2020,,Steve Bullock,Democratic,16648,,,,,,,,,,,,
374,Georgia,Catoosa County,-30.78,Shelter in place,4/3/2020,,Brian Kemp,Republican,67380,,,,,,,,,,,,
374,Kentucky,Boone County,-30.78,Healthy at home,3/26/2020,,Andy Beshear,Democratic,131901,,,,,,,,,,,,
375,Maine,Hancock County,-30.75,Stay at home,4/2/2020,,Janet T. Mills,Democratic,54734,,,,,,,,,,,,
376,Missouri,Monroe County,-30.73,Stay at home,4/6/2020,,Mike Parson,Republican,8636,,,,,,,,,,,,
377,Texas,Gillespie County,-30.71,Stay at home,4/2/2020,,Greg Abbott,Republican,26702,,,,,,,,,,,,
378,Pennsylvania,Fulton County,-30.69,Stay at home,4/1/2020,,Tom Wolf,Democratic,14525,,,,,,,,,,,,
378,Virginia,Suffolk,-30.69,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
379,New York,Erie County,-30.67,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,919717,,,,,,,,,,,,
379,New York,Saratoga County,-30.67,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,230170,,,,,,,,,,,,
379,North Carolina,Cherokee County,-30.67,Stay at home,3/30/2020,,Roy Cooper,Democratic,28369,,,,,,,,,,,,
380,Alabama,Talladega County,-30.65,Stay at home,4/4/2020,,Kay Ivey,Republican,80137,,,,,,,,,,,,
381,West Virginia,Jefferson County,-30.62,Stay at home,3/24/2020,,Jim Justice,Republican,56890,,,,,,,,,,,,
382,Georgia,Barrow County,-30.61,Shelter in place,4/3/2020,,Brian Kemp,Republican,80834,,,,,,,,,,,,
383,Illinois,McHenry County,-30.6,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,308251,,,,,,,,,,,,
383,Minnesota,Olmsted County,-30.6,Stay at home,3/27/2020,,Tim Walz,Democratic,156358,,,,,,,,,,,,
383,Pennsylvania,Clearfield County,-30.6,Stay at home,4/1/2020,,Tom Wolf,Democratic,79572,,,,,,,,,,,,
384,Texas,Johnson County,-30.59,Stay at home,4/2/2020,,Greg Abbott,Republican,171121,,,,,,,,,,,,
385,Alaska,Matanuska-Susitna,-30.58,Stay at home,3/28/2020,,Mike Dunleavy,Republican,,,,,,,,,,,,,
386,Pennsylvania,Greene County,-30.56,Stay at home,4/1/2020,,Tom Wolf,Democratic,36661,,,,,,,,,,,,
386,Tennessee,DeKalb County,-30.56,Stay at home,3/31/2020,,Bill Lee,Republican,20133,,,,,,,,,,,,
387,Montana,Carbon County,-30.55,Stay at home,3/28/2020,,Steve Bullock,Democratic,10691,,,,,,,,,,,,
388,Texas,Hood County,-30.53,Stay at home,4/2/2020,,Greg Abbott,Republican,60177,,,,,,,,,,,,
389,Georgia,Jones County,-30.47,Shelter in place,4/3/2020,,Brian Kemp,Republican,28680,,,,,,,,,,,,
389,Georgia,Terrell County,-30.47,Shelter in place,4/3/2020,,Brian Kemp,Republican,8587,,,,,,,,,,,,
389,Pennsylvania,Susquehanna County,-30.47,Stay at home,4/1/2020,,Tom Wolf,Democratic,40560,,,,,,,,,,,,
390,Georgia,Hall County,-30.41,Shelter in place,4/3/2020,,Brian Kemp,Republican,201538,,,,,,,,,,,,
391,Colorado,Garfield County,-30.4,Stay at home,3/26/2020,,Jared Polis,Democratic,59701,,,,,,,,,,,,
391,Illinois,Kane County,-30.4,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,532720,,,,,,,,,,,,
392,Missouri,Moniteau County,-30.39,Stay at home,4/6/2020,,Mike Parson,Republican,16186,,,,,,,,,,,,
393,Indiana,Hancock County,-30.38,Stay at home,3/24/2020,,Eric Holcomb,Republican,76478,,,,,,,,,,,,
393,Massachusetts,Hampden County,-30.38,Stay at home advisory,3/24/2020,,Charles D. Baker,Republican,468388,,,,,,,,,,,,
393,New Mexico,Bernalillo County,-30.38,Stay at home,3/24/2020,NM,Michelle Lujan Grisham,Democratic,678034,Yes,SAH  instruction,,3/24/2020,4/16/2020,https://thehill.com/homenews/state-watch/494441-new-mexico-governor-extends-stay-at-home-order-were-not-ready-to-ease-up,Yes,3/24/2020,,Yes,,
394,Texas,Newton County,-30.37,Stay at home,4/2/2020,,Greg Abbott,Republican,13751,,,,,,,,,,,,
395,Tennessee,Lewis County,-30.36,Stay at home,3/31/2020,,Bill Lee,Republican,12074,,,,,,,,,,,,
396,Georgia,Haralson County,-30.35,Shelter in place,4/3/2020,,Brian Kemp,Republican,29561,,,,,,,,,,,,
397,California,Sonoma County,-30.33,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,498643,Yes,,before,3/17/2020,5/3/2020,https://socoemergency.org/order-of-the-health-officer-shelter-in-place/,Yes,3/17/2020,http://sonomacounty.ca.gov/CAO/Press-Releases/Health-Officer-Orders-County-Residents-Shelter-in-Place/,Yes,3/16/2020,https://www.scoe.org/files/03_14_20_Press_Release_-_Temporary_suspension_of_Sonoma_County_Schools.pdf
398,Arizona,Yavapai County,-30.31,Stay at home,3/31/2020,,Doug Ducey,Republican,231772,,,,,,,,,,,,
399,Minnesota,Chisago County,-30.3,Stay at home,3/27/2020,,Tim Walz,Democratic,55972,,,,,,,,,,,,
400,Washington,Skamania County,-30.29,Stay at home,3/23/2020,,Jay Inslee,Democratic,11919,,,,,,,,,,,,
401,Georgia,Carroll County,-30.28,Shelter in place,4/3/2020,,Brian Kemp,Republican,117997,,,,,,,,,,,,
402,Pennsylvania,Clinton County,-30.27,Stay at home,4/1/2020,,Tom Wolf,Democratic,38696,,,,,,,,,,,,
403,Massachusetts,Barnstable County,-30.25,Stay at home advisory,3/24/2020,,Charles D. Baker,Republican,213471,,,,,,,,,,,,
404,Tennessee,Cheatham County,-30.21,Stay at home,3/31/2020,,Bill Lee,Republican,40502,,,,,,,,,,,,
405,Illinois,DeKalb County,-30.2,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,104349,,,,,,,,,,,,
