rank,admin1,admin2,wp_low_mean,SAH_State_Type,SAH_State_Date,acronym,governor,political-party,population,SAH,SAH-notes,county-state,SAH-start-date,SAH-end-date,source-URL,NE-bus-sus,start-date,source-URL_1,Pub-school-closed,start-date_1,source-URL_2
93,Pennsylvania,Berks County,-41,Stay at home,4/1/2020,,Tom Wolf,Democratic,420529,,,,,,,,,,,,
94,Texas,Rockwall County,-40.94,Stay at home,4/2/2020,,Greg Abbott,Republican,100546,,,,,,,,,,,,
95,Maryland,Charles County,-40.93,Stay at home,3/30/2020,,Larry Hogan,Republican,161476,,,,,,,,,,,,
96,Vermont,Lamoille County,-40.86,Stay at home,3/25/2020,,Phil Scott,Republican,25295,,,,,,,,,,,,
97,Alabama,Shelby County,-40.83,Stay at home,4/4/2020,,Kay Ivey,Republican,215583,,,,,,,,,,,,
97,Missouri,Taney County,-40.83,Stay at home,4/6/2020,,Mike Parson,Republican,55719,,,,,,,,,,,,
98,Pennsylvania,Northampton County,-40.81,Stay at home,4/1/2020,,Tom Wolf,Democratic,304564,,,,,,,,,,,,
99,Colorado,Park County,-40.8,Stay at home,3/26/2020,,Jared Polis,Democratic,18525,,,,,,,,,,,,
99,Minnesota,Scott County,-40.8,Stay at home,3/27/2020,,Tim Walz,Democratic,147191,,,,,,,,,,,,
100,Maryland,Anne Arundel County,-40.79,Stay at home,3/30/2020,,Larry Hogan,Republican,575523,,,,,,,,,,,,
101,Pennsylvania,Washington County,-40.67,Stay at home,4/1/2020,,Tom Wolf,Democratic,207018,,,,,,,,,,,,
102,Pennsylvania,Lehigh County,-40.6,Stay at home,4/1/2020,,Tom Wolf,Democratic,368359,,,,,,,,,,,,
102,South Carolina,Charleston County,-40.6,Stay at home ,4/7/2020,,Henry McMaster,Republican,406222,,,,,,,,,,,,
103,Virginia,York County,-40.57,Stay at home,3/30/2020,,Ralph Northam,Democratic,67976,,,,,,,,,,,,
104,Colorado,Grand County,-40.56,Stay at home,3/26/2020,,Jared Polis,Democratic,15511,,,,,,,,,,,,
105,Florida,St. Johns County,-40.5,Stay at home,4/3/2020,,Ron DeSantis,Republican,253814,,,,,,,,,,,,
106,Tennessee,Davidson County,-40.47,Stay at home,3/31/2020,TN,Bill Lee,Republican,690516,Yes,SAH,,3/23/2020,4/30/2020,https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee22.pdf,Yes,3/23/2020,https://whnt.com/news/coronavirus/nashville-mayor-orders-non-essential-businesses-to-close-residents-to-stay-home/,Yes,3/13/2020,https://www.bizjournals.com/nashville/news/2020/03/16/gov-lee-calls-on-all-k-12-schools-to-shut-down-for.html
107,Alabama,Madison County,-40.33,Stay at home,4/4/2020,,Kay Ivey,Republican,367004,,,,,,,,,,,,
108,Mississippi,Union County,-40.29,Shelter in place,4/3/2020,,Tate Reeves,Republican,28615,,,,,,,,,,,,
109,Minnesota,Dakota County,-40.2,Stay at home,3/27/2020,,Tim Walz,Democratic,425040,,,,,,,,,,,,
110,Florida,Broward County,-40.18,Stay at home,4/3/2020,FL,Ron DeSantis,Republican,1946107,,safer at home,,,,,,,,,,
111,Maryland,Frederick County,-40.14,Stay at home,3/30/2020,,Larry Hogan,Republican,254943,,,,,,,,,,,,
112,Rhode Island,Bristol County,-40.08,Stay at home,3/28/2020,RI,Gina Raimondo,Democratic,48637,Yes,,,3/28/2020,5/8/2020,https://whdh.com/news/ri-stay-at-home-orders-extended-to-may-8-providence-parks-closed/,,,,,,
113,California,Santa Cruz County,-40,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,273841,Yes,,same,3/19/2020,,,,,,Yes,3/16/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
113,Colorado,La Plata County,-40,Stay at home,3/26/2020,,Jared Polis,Democratic,56299,,,,,,,,,,,,
113,North Carolina,Mecklenburg County,-40,Stay at home,3/30/2020,NC,Roy Cooper,Democratic,1093750,Yes,,,3/26/2020,5/8/2020,https://www.newsobserver.com/news/coronavirus/article242243866.html,Yes,3/26/2020,https://www.mecknc.gov/news/Pages/Stay-at-Home-Order-Extended-to-May-8.aspx,Yes,3/16/2020,https://www.cms.k12.nc.us/cmsdepartments/csh/covid-19/Pages/default.aspx
114,Maine,Sagadahoc County,-39.94,Stay at home,4/2/2020,,Janet T. Mills,Democratic,35690,,,,,,,,,,,,
115,Virginia,Fredericksburg,-39.93,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
116,Washington,Kittitas County,-39.86,Stay at home,3/23/2020,,Jay Inslee,Democratic,47358,,,,,,,,,,,,
117,Missouri,Clay County,-39.81,Stay at home,4/6/2020,,Mike Parson,Republican,246360,,,,,,,,,,,,
118,New Jersey,Middlesex County,-39.8,Stay at home,3/21/2020,NJ,Phil Murphy,Democratic,826172,Yes,Stay at home,same,3/21/2020,,http://www.middlesexcountynj.gov/Government/Departments/PSH/Pages/Coronavirus-State-Guidelines.aspx,Yes,3/21/2020,https://www.co.bergen.nj.us/images/About_Bergen_County/Public_Notices/Summary_of_EO_107_and_EO_108.pdf,Yes,3/21/2020,https://www.co.bergen.nj.us/images/About_Bergen_County/Public_Notices/Summary_of_EO_107_and_EO_108.pdf
119,Kansas,Douglas County,-39.79,Stay at home,3/30/2020,,Laura Kelly,Democratic,121109,,,,,,,,,,,,
120,Georgia,Cherokee County,-39.61,Shelter in place,4/3/2020,,Brian Kemp,Republican,253914,,,,,,,,,,,,
121,Montana,Glacier County,-39.6,Stay at home,3/28/2020,,Steve Bullock,Democratic,13828,,,,,,,,,,,,
122,Missouri,Boone County,-39.58,Stay at home,4/6/2020,,Mike Parson,Republican,179061,,,,,,,,,,,,
123,Nevada,Douglas County,-39.5,Stay at home,4/1/2020,,Steve Sisolak,Democratic,48489,,,,,,,,,,,,
123,Virginia,Prince William County,-39.5,Stay at home,3/30/2020,VA,Ralph Northam,Democratic,466235,,,,,,,,,,,,
124,Mississippi,Chickasaw County,-39.38,Shelter in place,4/3/2020,,Tate Reeves,Republican,17100,,,,,,,,,,,,
125,Pennsylvania,Lancaster County,-39.33,Stay at home,4/1/2020,,Tom Wolf,Democratic,543969,,,,,,,,,,,,
125,Pennsylvania,York County,-39.33,Stay at home,4/1/2020,,Tom Wolf,Democratic,447847,,,,,,,,,,,,
126,Texas,Hays County,-39.29,Stay at home,4/2/2020,,Greg Abbott,Republican,222706,,,,,,,,,,,,
127,Colorado,Arapahoe County,-39.2,Stay at home,3/26/2020,,Jared Polis,Democratic,651797,,,,,,,,,,,,
127,New Jersey,Mercer County,-39.2,Stay at home,3/21/2020,,Phil Murphy,Democratic,368188,,,,,,,,,,,,
128,New York,Kings County,-39.17,Stay at home,3/22/2020,NY,Andrew Cuomo,Democratic,2578074,Yes,vulnerable populations only,same,3/22/2020,5/15/2020,https://coronavirus.health.ny.gov/home,Yes,3/22/2020,https://coronavirus.health.ny.gov/new-york-state-pause,Yes,3/18/2020,https://www.governor.ny.gov/news/governor-cuomo-signs-executive-order-closing-schools-statewide-two-weeks
129,Maryland,Prince George's County,-39.14,Stay at home,3/30/2020,MD,Larry Hogan,Republican,909619,,,,,,,,,,,,
130,Missouri,Perry County,-39.07,Stay at home,4/6/2020,,Mike Parson,Republican,19274,,,,,,,,,,,,
